service_key,field_name,laboratory_name,service_name,acceptance_criteria,equipment_models,calibration_status,source_rows,pic_name,continuation_count
Makmal Getaran & Kebisingan :: Sound Absorption Coefficients (α),NDT,Makmal Getaran & Kebisingan,Sound Absorption Coefficients (α),"High Frequency - Ø tube 28mm, max length 250mm || Low Frequency - Ø tube 100mm, max length 250mm",,unknown,"44,45",Saiful Hazmi bin Sanip,1
Makmal Getaran & Kebisingan :: Sound Transmission Loss (TL),NDT,Makmal Getaran & Kebisingan,Sound Transmission Loss (TL),"High Frequency - Ø tube 28mm, max length 250mm || Low Frequency - Ø tube 100mm, max length 250mm",,unknown,"46,47",Saiful Hazmi bin Sanip,1
Makmal Mekanik Mesin :: Infrared Thermography Inspection,NDT,Makmal Mekanik Mesin,Infrared Thermography Inspection,"Passive thermography, -40° to 2000° C",FLIR T640,valid,51,Mohd Hamimi bin Masrom,0
Makmal Metalurgi :: Ball Mill,MATERIAL PREPARATION,Makmal Metalurgi,Ball Mill,"Maximum 4 sample at a time, for metal only",RETSCH PM 400 MA-type,unknown,42,Mohd Haidi bin Md Ishak,0
Makmal Metalurgi :: Potentiostat,MATERIAL PREPARATION,Makmal Metalurgi,Potentiostat,"EIS test, Corrosion test",Metrohm Autolab Vionic-161000003005,unknown,43,Mohd Haidi bin Md Ishak,0
Makmal Metalurgi :: Tube Furnace,MATERIAL PREPARATION,Makmal Metalurgi,Tube Furnace,Maximum temperature  1600 °C,Elite Thermal System TSH16/50/180-2416CG,unknown,41,Mohd Haidi bin Md Ishak,0
Makmal Pembakaran Dalam :: 1) Massflow meter,VEHICLE AND ENGINE TESTING,Makmal Pembakaran Dalam,1) Massflow meter,all type of fuels,onosukki FM2500 & FZ2100,expired,54,Tc. MZahar bin Abd Jalal,0
Makmal Pembakaran Dalam :: 2) OBD Scantools,VEHICLE AND ENGINE TESTING,Makmal Pembakaran Dalam,2) OBD Scantools,all type of ODBII standard vehicles,bosch kts 560 scantool,unknown,55,Tc. MZahar bin Abd Jalal,0
Makmal Pembakaran Dalam :: 3) Exhaust Smoke and Gas Analyser,VEHICLE AND ENGINE TESTING,Makmal Pembakaran Dalam,3) Exhaust Smoke and Gas Analyser,"(CO, HC, CO2, O2, Nox, Lambda, and AFR), gasoline, LPG cars and Diesel vehicle Smoke can be analyzed.",QGA6000,unknown,56,Tc. MZahar bin Abd Jalal,0
Makmal Pembakaran Dalam :: A) Chassis Dyno Test,VEHICLE AND ENGINE TESTING,Makmal Pembakaran Dalam,A) Chassis Dyno Test,all light vehicles 2WD and 4WD,dynapack2000,expired,52,Tc. MZahar bin Abd Jalal,0
Makmal Pembakaran Dalam :: B) Motocycle Dyno Test,VEHICLE AND ENGINE TESTING,Makmal Pembakaran Dalam,B) Motocycle Dyno Test,all type of motocycle and ATVs,dynomite,expired,53,Tc. MZahar bin Abd Jalal,0
Makmal Pemeriksaan & Pengujian :: Eddy Current testing,NDT,Makmal Pemeriksaan & Pengujian,Eddy Current testing,"Used for detecting surface or near-surface defects (e.g., fine cracks or pitting) or for material sorting on conductive materials (e.g., tubes, bars). Criteria: Defect signals must be below the established threshold of the reference standard.",Olympus Epoch 600,expired,49,Tc. Muhamad Radhi bin Ujang,0
Makmal Pemeriksaan & Pengujian :: Thickness testing,NDT,Makmal Pemeriksaan & Pengujian,Thickness testing,"Used to measure the current wall thickness of pipelines, tanks, and pressure vessels susceptible to corrosion. Criteria: The measured thickness must be equal to or greater than the required Design Minimum Thickness",Olympus 45MG,expired,50,Tc. Muhamad Radhi bin Ujang,0
Makmal Pemeriksaan & Pengujian :: Ultrasonic testing,NDT,Makmal Pemeriksaan & Pengujian,Ultrasonic testing,"Used for detecting internal defects such as cracks, lack of fusion, or voids in welds and cast materials. Criteria: Absence of indications exceeding the reference amplitude and length limits defined by the governing code",Olympus Epoch 650,expired,48,Tc. Muhamad Radhi bin Ujang,0
Makmal Pemesinan Jitu :: CNC EDM Die Singking,ADVANCE MACHINING,Makmal Pemesinan Jitu,CNC EDM Die Singking,,SODICK AQ55L,unknown,68,Mohamad Faizal bin Jasman,0
Makmal Pemesinan Jitu :: CNC EDM Wire Cut,ADVANCE MACHINING,Makmal Pemesinan Jitu,CNC EDM Wire Cut,,MITSUBISHI RA90,unknown,67,Mohamad Faizal bin Jasman,0
Makmal Pemesinan Termaju :: CNC Lathe,ADVANCE MACHINING,Makmal Pemesinan Termaju,CNC Lathe,,"Mazak QTN 100, Mazak QTN 100 Msy & HAAS SL20",unknown,65,Mohd Raminhizad Bin Abd Razaman,0
Makmal Pemesinan Termaju :: CNC Milling,ADVANCE MACHINING,Makmal Pemesinan Termaju,CNC Milling,,Mazak VCN 410A,unknown,66,Mohd Raminhizad Bin Abd Razaman,0
Makmal Pencirian Bahan :: Microscopy Examination,MATERIALS CHARACTERIZATION,Makmal Pencirian Bahan,Microscopy Examination,,Nikon & Olympus,expired,15,Nooriskandar bin Sani,0
Makmal Pencirian Bahan :: Rockwell Hardness Tester,MECHANICAL MATERIAL TESTING,Makmal Pencirian Bahan,Rockwell Hardness Tester,Max Load,Instron Wilson,expired,24,Nooriskandar bin Sani,0
Makmal Pencirian Bahan :: Scanning Electron Microscope (SEM/EDX),MATERIALS CHARACTERIZATION,Makmal Pencirian Bahan,Scanning Electron Microscope (SEM/EDX),"20mm x 20mm x 5mm solid sample, powder, dry sample",Hitachi SU1510,valid,13,Nooriskandar bin Sani,0
Makmal Pencirian Bahan :: Vickers Hardness Tester,MECHANICAL MATERIAL TESTING,Makmal Pencirian Bahan,Vickers Hardness Tester,50kg Max Load,Buehler,expired,25,Nooriskandar bin Sani,0
Makmal Pencirian Bahan :: X-Ray Diffraction (XRD),MATERIALS CHARACTERIZATION,Makmal Pencirian Bahan,X-Ray Diffraction (XRD),"20mm x 20mm x 5mm solid sample, powder",Bruker D8 Advance,valid,14,Nooriskandar bin Sani,0
Makmal Pengujian Mekanik :: Compression Test,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Compression Test,100kN max Load,,unknown,30,Mohd Yusof bin Mohd Sahil,0
Makmal Pengujian Mekanik :: Fatigue Test,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Fatigue Test,"12mm Max thickness, 100kN Max load, **Samples quantity subject to Testing Standard.",,unknown,28,Mohd Yusof bin Mohd Sahil,0
Makmal Pengujian Mekanik :: Fracture Test,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Fracture Test,"100kN Max load, Max 62.5mm x 25mm x 60 mm specimen (LxWxH), 37.5mm PCD and  Ø12.5mm for Dowel Pin Holes, **Samples quantity subject to Testing Standard.",,unknown,27,Mohd Yusof bin Mohd Sahil,0
Makmal Pengujian Mekanik :: Tensile Test,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Tensile Test,"12mm Max thickness, 100kN Max load",,unknown,29,Mohd Yusof bin Mohd Sahil,0
Makmal Persekitaran Terma :: 1.Thermal  Comfort Measurement 2.Heat Stress Measurement 3.Hygiene Tech Measurement,ENVIROMENTAL AND INDOOR AIR QUALITY,Makmal Persekitaran Terma,1.Thermal  Comfort Measurement 2.Heat Stress Measurement 3.Hygiene Tech Measurement,1.Air Temperature 2.Relative Humidity 3.Air Movement 4.Globe Temperature,Kimo Instrument | TSI Velocicalc Plus Meter,expired,"62,63",Yaacub Zaki bin Ali,1
Makmal Persekitaran Terma :: Indoor Air Quality IAQ Assesment,ENVIROMENTAL AND INDOOR AIR QUALITY,Makmal Persekitaran Terma,Indoor Air Quality IAQ Assesment,1.Carbon Dioxide (CO2) 2.Carbon Monoxide (CO) 3.Respirable Particulates (PM10) 4.Total Volatile Organic Compounds (TVOC) 5.Ozone (O3) 6.Formaldehyde,Aeroqual Ozone Meter | MiniRAE TVOC Meter | PPM Formalde Meter | TSI Dust Trak Monitor | TSI IAQ Calc Meter,expired,"57,58,59,60,61",Yaacub Zaki bin Ali,4
Makmal Persekitaran Terma :: Industrial Hygiene Measurement,ENVIROMENTAL AND INDOOR AIR QUALITY,Makmal Persekitaran Terma,Industrial Hygiene Measurement,1.Respirable Particulates Dust 2.Airborne Particles,(Gillian Personal Air Sampling Pump),unknown,64,Yaacub Zaki bin Ali,0
Makmal Polimer :: Ball Mill,MATERIAL PREPARATION,Makmal Polimer,Ball Mill,"Small particles, 100-300 RPM, below 200g",Fritsch,unknown,34,Mohamad Shahrulelmi bin Mohd Rodzi,0
